Provincia;Hab_km2;RecaCM;TotalContribCM;CoParticipacion;Cereales;Oleaginosas;Bovino;Construccion;Venta_Mayor;Venta_menor_prendas;Transporte merc_ granel;Transporte_carga;Seguros;Inmobiliarios
Capital_Federal;14450.80;15479936868;396727;4219793357;7876;3056;10482;20980;12578;6500;3039;19555;7822;19516
Buenos_Aires;50.80;11448441128;415396;37700278142;10256;4131;11978;21450;13480;6720;7046;24834;7928;19508
Catamarca;3.60;166109956;15051;4724629477;382;318;311;615;1860;234;611;1293;213;1090
Cordoba;20.00;3874580481;80521;15208351680;6111;3056;4333;1914;5249;765;8884;8748;1398;5345
Corrientes;11.30;418255394;27916;6368684542;869;428;1799;1257;2543;431;1041;2928;527;1773
Chaco;10.60;599155967;29179;8510221225;1431;837;1301;1200;2570;411;2329;3659;405;1765
Chubut;2.30;1288631160;20919;2745560456;177;99;280;758;2161;289;346;1456;283;1307
Entre_Rios;15.70;1529080467;33988;8379843207;1701;917;1870;1089;3206;349;1487;3022;1044;2451
Formosa;7.40;241554272;14712;6228364135;433;273;696;608;1721;193;541;1377;177;984
Jujuy;12.70;356164402;17740;4883702433;360;275;259;561;1963;224;761;1922;266;1106
La_Pampa;2.20;432712558;24732;3237947371;2472;1031;2862;651;2117;272;1843;1849;341;2146
La_Rioja;3.70;137619740;13636;3562498383;227;195;224;498;1756;218;299;956;255;946
Mendoza;11.70;1954410300;34944;7168754420;573;398;835;1064;3321;450;1228;3246;746;2116
Misiones;37.00;716594368;22155;5669424863;331;180;567;727;2411;270;631;2287;272;1354
Neuquen;5.90;2219532224;34258;2994401267;211;120;423;1861;2548;451;606;2233;417;2557
Rio_Negro;3.10;858353320;36756;4328968263;350;147;769;1776;2534;522;699;2549;636;2676
Salta;7.80;618281862;29123;6578115149;1158;888;784;904;2692;355;2251;3708;542;1871
San_Juan;7.60;451897666;18987;5796245268;202;190;257;650;2161;243;574;1623;401;1165
San_Luis;5.60;413970022;27153;3920854497;1506;752;1719;944;2563;271;1674;2477;649;1973
Santa_Cruz;1.10;933926888;15985;2729860456;134;64;202;696;1665;229;257;1158;200;1052
Santa_Fe;24.00;2916360557;82367;15316655983;7410;3993;5174;2111;5365;774;8728;9297;1480;4843
Santiago_del_Estero;6.40;360340285;24824;7073244217;2330;1634;1498;760;2263;273;2238;2956;464;1770
Tierra_del_Fuego;0.10;472797352;11411;2145896677;82;43;125;401;1426;185;151;583;181;829
Tucuman;64.30;851468737;26829;8160360008;1163;889;694;933;3005;369;2062;3465;511;1915